region,date,temperature_max,precipitation_sum,windspeed_max
North,2026-06-12,21.1,0.0,14.3
North,2026-06-13,25.0,0.0,18.7
North,2026-06-14,29.0,0.0,17.3
North,2026-06-15,31.8,0.0,23.2
North,2026-06-16,28.5,0.0,21.1
North,2026-06-17,22.7,0.0,19.5
North,2026-06-18,23.6,0.0,17.6
North,2026-06-19,26.6,0.0,15.5
North,2026-06-20,27.7,0.1,18.8
North,2026-06-21,23.6,0.0,14.8
North,2026-06-22,26.9,0.0,16.8
North,2026-06-23,29.5,0.0,14.9
North,2026-06-24,31.3,0.0,14.0
North,2026-06-25,31.0,0.1,17.9
North,2026-06-26,19.9,2.3,23.0
North,2026-06-27,18.8,1.0,22.7
North,2026-06-28,20.0,0.2,10.9
North,2026-06-29,19.7,0.0,15.3
North,2026-06-30,18.0,0.0,13.5
North,2026-07-01,18.9,0.0,13.4
North,2026-07-02,19.2,1.7,16.5
North,2026-07-03,21.5,2.0,18.5
North,2026-07-04,21.7,0.0,15.4
North,2026-07-05,22.0,0.0,18.4
North,2026-07-06,26.4,0.0,16.4
North,2026-07-07,27.2,0.0,14.4
North,2026-07-08,23.9,0.0,14.7
North,2026-07-09,23.9,0.0,18.0
North,2026-07-10,24.9,0.0,15.9
North,2026-07-11,22.4,0.0,21.7
North,2026-07-12,23.0,0.6,20.1
North,2026-07-13,23.6,0.0,15.4
North,2026-07-14,26.9,0.0,15.0
North,2026-07-15,27.6,0.0,14.3
North,2026-07-16,26.7,4.4,16.3
North,2026-07-17,21.9,0.8,15.1
North,2026-07-18,22.6,0.0,13.7
North,2026-07-19,23.0,0.0,16.6
North,2026-07-20,25.8,0.0,16.1
North,2026-07-21,30.8,0.0,11.3
North,2026-07-22,31.7,0.0,15.3
North,2026-07-23,31.4,2.5,18.9
North,2026-07-24,25.0,0.0,12.0
North,2026-07-25,25.9,0.0,19.1
North,2026-07-26,22.2,2.1,17.5
North,2026-07-27,25.6,2.9,15.7
North,2026-07-28,25.3,0.0,20.9
North,2026-07-29,23.2,0.0,15.3
North,2026-07-30,23.8,0.0,13.7
North,2026-07-31,26.7,0.0,14.1
North,2026-08-01,27.6,0.9,25.8
North,2026-08-02,21.7,0.3,19.7
North,2026-08-03,22.7,0.0,16.9
North,2026-08-04,25.6,0.0,16.0
North,2026-08-05,27.7,0.0,14.3
North,2026-08-06,28.6,0.0,11.6
North,2026-08-07,29.5,0.0,12.4
North,2026-08-08,29.8,0.0,14.5
North,2026-08-09,27.9,0.0,16.0
North,2026-08-10,23.5,0.0,14.2
North,2026-08-11,24.5,0.0,14.1
North,2026-08-12,25.0,0.0,13.9
North,2026-08-13,25.5,0.0,8.6
North,2026-08-14,26.5,0.0,11.9
North,2026-08-15,26.6,0.0,14.4
North,2026-08-16,24.2,0.2,9.3
North,2026-08-17,23.8,0.0,13.5
North,2026-08-18,26.0,0.0,9.9
North,2026-08-19,26.7,0.0,12.3
North,2026-08-20,26.2,0.0,13.9
North,2026-08-21,27.0,0.0,12.1
North,2026-08-22,27.4,0.4,15.5
North,2026-08-23,23.4,0.1,16.5
North,2026-08-24,23.1,0.0,19.0
North,2026-08-25,30.0,0.0,17.7
North,2026-08-26,28.6,0.0,18.5
North,2026-08-27,25.8,0.0,21.2
North,2026-08-28,22.9,0.0,21.4
North,2026-08-29,21.3,7.3,15.3
North,2026-08-30,20.6,0.7,11.8
North,2026-08-31,21.8,0.0,16.5
North,2026-09-01,21.7,0.0,18.9
North,2026-09-02,20.6,3.3,23.1
North,2026-09-03,18.3,4.5,23.4
North,2026-09-04,19.1,0.4,13.5
North,2026-09-05,20.1,0.1,8.5
North,2026-09-06,20.8,0.0,11.7
North,2026-09-07,21.3,0.4,9.9
North,2026-09-08,21.4,0.0,14.4
North,2026-09-09,24.0,0.0,14.7
North,2026-09-10,24.9,0.0,13.6
South,2026-03-15,28.2,0.2,25.3
South,2026-03-16,26.0,2.5,24.8
South,2026-03-17,14.4,0.0,17.7
South,2026-03-18,22.0,0.0,12.7
South,2026-03-19,26.1,0.0,12.2
South,2026-03-20,28.2,0.0,15.7
South,2026-03-21,30.1,0.0,17.6
South,2026-03-22,29.4,0.0,18.0
South,2026-03-23,29.9,0.0,16.1
South,2026-03-24,28.4,0.3,14.5
South,2026-03-25,28.8,0.0,15.4
South,2026-03-26,29.1,0.0,17.2
South,2026-03-27,30.5,0.0,17.8
South,2026-03-28,25.7,0.0,20.2
South,2026-03-29,28.1,0.0,16.3
South,2026-03-30,29.5,0.0,18.1
South,2026-03-31,28.1,1.3,20.7
South,2026-04-01,27.6,4.3,24.6
South,2026-04-02,27.5,4.1,20.0
South,2026-04-03,27.7,4.3,20.8
South,2026-04-04,27.2,11.3,19.8
South,2026-04-05,22.3,3.7,19.3
South,2026-04-06,22.4,1.2,14.8
South,2026-04-07,23.9,0.0,13.7
South,2026-04-08,25.8,0.3,14.6
South,2026-04-09,27.6,0.5,16.8
South,2026-04-10,24.6,15.4,15.8
South,2026-04-11,24.6,5.5,20.1
South,2026-04-12,25.9,24.6,20.3
South,2026-04-13,27.1,27.8,18.4
South,2026-04-14,28.3,1.2,17.8
South,2026-04-15,28.0,1.3,19.6
South,2026-04-16,28.4,1.8,17.3
South,2026-04-17,28.0,1.6,22.3
South,2026-04-18,27.7,17.2,17.1
South,2026-04-19,20.5,22.1,21.5
South,2026-04-20,21.1,0.5,13.5
South,2026-04-21,20.1,38.0,16.7
South,2026-04-22,26.6,7.1,14.8
South,2026-04-23,27.1,3.7,19.2
South,2026-04-24,28.4,1.8,15.3
South,2026-04-25,29.3,2.4,12.3
South,2026-04-26,28.5,1.1,18.0
South,2026-04-27,30.7,0.7,18.0
South,2026-04-28,31.0,0.2,20.2
South,2026-04-29,29.5,0.3,13.9
South,2026-04-30,29.5,0.2,18.0
South,2026-05-01,22.6,93.4,19.8
South,2026-05-02,23.1,9.3,19.3
South,2026-05-03,25.1,0.0,8.7
South,2026-05-04,26.5,0.0,16.8
South,2026-05-05,28.5,0.8,19.1
South,2026-05-06,29.8,4.6,14.7
South,2026-05-07,27.9,1.6,15.4
South,2026-05-08,24.9,5.6,10.5
South,2026-05-09,29.9,8.0,12.1
South,2026-05-10,30.2,1.8,14.3
South,2026-05-11,26.9,35.1,17.0
South,2026-05-12,28.9,0.0,11.1
South,2026-05-13,30.4,0.0,9.1
South,2026-05-14,31.0,0.0,13.1
South,2026-05-15,31.1,0.0,17.1
South,2026-05-16,31.2,0.8,20.2
South,2026-05-17,30.2,4.6,22.6
South,2026-05-18,30.3,4.9,23.6
South,2026-05-19,29.6,36.2,25.8
South,2026-05-20,27.8,64.9,13.1
South,2026-05-21,27.1,9.6,10.9
South,2026-05-22,30.0,11.0,9.5
South,2026-05-23,25.6,25.4,16.4
South,2026-05-24,28.8,0.9,11.4
South,2026-05-25,30.2,1.2,7.9
South,2026-05-26,30.7,1.8,14.6
South,2026-05-27,27.7,39.3,20.5
South,2026-05-28,30.2,0.1,6.6
South,2026-05-29,31.3,0.0,12.5
South,2026-05-30,31.9,0.3,11.5
South,2026-05-31,31.8,0.0,11.0
South,2026-06-01,32.5,1.9,10.7
South,2026-06-02,30.3,1.0,11.7
South,2026-06-03,29.2,11.3,17.7
South,2026-06-04,27.5,78.6,11.5
South,2026-06-05,28.4,14.2,12.4
South,2026-06-06,30.0,8.7,12.0
South,2026-06-07,29.8,4.5,15.8
South,2026-06-08,31.1,12.6,15.7
South,2026-06-09,31.4,1.6,15.1
South,2026-06-10,30.5,6.6,16.3
South,2026-06-11,30.9,5.0,15.7
South,2026-06-12,31.7,5.0,15.2
South,2026-06-13,31.7,2.5,16.6
South,2026-06-14,30.7,14.0,13.8
South,2026-06-15,27.3,52.8,11.2
South,2026-06-16,26.3,67.0,8.2
South,2026-06-17,30.0,31.5,22.3
South,2026-06-18,33.7,0.9,14.8
South,2026-06-19,31.8,9.0,14.9
South,2026-06-20,29.6,30.4,11.5
South,2026-06-21,30.6,37.7,16.8
South,2026-06-22,32.8,1.8,17.2
South,2026-06-23,32.6,0.1,14.4
South,2026-06-24,33.2,0.0,13.0
South,2026-06-25,32.9,0.0,16.5
South,2026-06-26,33.5,0.7,18.6
South,2026-06-27,34.6,0.1,17.7
South,2026-06-28,34.7,0.2,18.7
South,2026-06-29,35.4,0.9,17.8
South,2026-06-30,34.0,1.9,15.7
South,2026-07-01,35.1,0.3,14.3
South,2026-07-02,35.3,5.7,10.7
South,2026-07-03,34.3,1.3,12.2
South,2026-07-04,36.1,2.0,14.8
South,2026-07-05,36.3,0.3,12.2
South,2026-07-06,35.2,3.3,12.2
South,2026-07-07,33.2,2.6,9.2
South,2026-07-08,32.2,0.3,11.8
South,2026-07-09,32.8,1.9,13.3
South,2026-07-10,31.5,2.8,12.6
South,2026-07-11,30.6,9.0,11.1
South,2026-07-12,31.9,3.5,15.1
South,2026-07-13,30.6,25.6,12.1
South,2026-07-14,25.3,63.0,16.2
South,2026-07-15,27.8,0.8,12.1
South,2026-07-16,32.7,4.2,14.6
South,2026-07-17,33.2,3.5,12.8
South,2026-07-18,33.5,0.1,10.4
South,2026-07-19,33.8,0.0,12.9
South,2026-07-20,34.6,0.0,10.6
South,2026-07-21,36.6,0.0,11.2
South,2026-07-22,39.6,2.1,11.2
South,2026-07-23,36.1,21.8,15.0
South,2026-07-24,33.7,9.9,15.0
South,2026-07-25,34.1,0.0,11.6
South,2026-07-26,35.0,1.3,11.6
South,2026-07-27,34.6,0.1,12.8
South,2026-07-28,34.8,1.3,14.5
South,2026-07-29,35.2,1.4,14.8
South,2026-07-30,36.4,0.1,13.0
South,2026-07-31,36.5,0.0,14.1
South,2026-08-01,36.0,0.5,16.5
South,2026-08-02,37.5,1.9,10.1
South,2026-08-03,37.2,0.3,14.0
South,2026-08-04,35.9,4.5,17.0
South,2026-08-05,35.5,0.8,11.5
South,2026-08-06,33.0,4.3,13.0
South,2026-08-07,34.2,1.2,11.5
South,2026-08-08,34.6,1.6,13.0
South,2026-08-09,32.4,1.4,11.3
South,2026-08-10,31.8,7.6,12.2
South,2026-08-11,31.8,3.5,12.8
South,2026-08-12,34.2,1.3,15.2
South,2026-08-13,35.6,0.3,18.5
South,2026-08-14,33.6,1.7,17.2
South,2026-08-15,35.6,1.2,13.6
South,2026-08-16,36.3,0.0,13.6
South,2026-08-17,36.9,0.0,14.6
South,2026-08-18,36.3,4.9,14.4
South,2026-08-19,35.8,0.6,12.3
South,2026-08-20,37.5,0.0,15.5
South,2026-08-21,38.6,0.1,15.9
South,2026-08-22,39.8,0.1,14.8
South,2026-08-23,38.2,0.3,12.7
South,2026-08-24,38.7,0.1,14.8
South,2026-08-25,37.9,0.3,17.0
South,2026-08-26,38.1,0.3,12.2
South,2026-08-27,36.1,10.4,16.4
South,2026-08-28,34.6,14.9,12.0
South,2026-08-29,35.2,0.1,11.5
South,2026-08-30,36.8,0.1,12.9
South,2026-08-31,33.7,4.0,12.8
South,2026-09-01,31.1,4.3,12.5
South,2026-09-02,31.2,16.3,21.3
South,2026-09-03,31.2,30.6,12.1
South,2026-09-04,32.0,11.6,9.0
South,2026-09-05,33.0,1.1,10.0
South,2026-09-06,29.7,17.2,8.6
South,2026-09-07,33.4,0.3,6.2
South,2026-09-08,33.3,2.4,8.7
South,2026-09-09,30.9,8.0,10.7
South,2026-09-10,30.9,3.7,8.1
East,2026-03-15,6.5,0.0,14.6
East,2026-03-16,17.6,11.4,25.9
East,2026-03-17,14.6,9.5,33.1
East,2026-03-18,2.3,0.0,14.8
East,2026-03-19,4.8,0.0,9.1
East,2026-03-20,12.8,0.0,17.7
East,2026-03-21,14.1,3.8,16.6
East,2026-03-22,16.5,2.7,19.0
East,2026-03-23,12.7,16.2,16.2
East,2026-03-24,8.3,0.0,17.5
East,2026-03-25,10.6,0.0,17.2
East,2026-03-26,22.6,0.0,17.0
East,2026-03-27,19.5,4.3,20.1
East,2026-03-28,6.6,0.0,18.4
East,2026-03-29,12.5,0.0,14.1
East,2026-03-30,21.0,0.0,19.6
East,2026-03-31,26.7,0.6,19.7
East,2026-04-01,26.6,1.0,18.8
East,2026-04-02,18.2,5.7,21.7
East,2026-04-03,21.2,0.4,22.3
East,2026-04-04,22.4,0.0,19.9
East,2026-04-05,15.9,6.8,14.8
East,2026-04-06,12.9,0.1,21.1
East,2026-04-07,11.8,0.0,23.3
East,2026-04-08,9.4,0.0,17.8
East,2026-04-09,9.7,0.0,13.9
East,2026-04-10,17.4,0.0,13.2
East,2026-04-11,17.6,0.7,17.0
East,2026-04-12,14.5,0.0,16.7
East,2026-04-13,26.5,0.0,23.0
East,2026-04-14,31.1,1.4,21.7
East,2026-04-15,32.7,0.5,16.7
East,2026-04-16,33.4,0.1,14.8
East,2026-04-17,28.1,4.6,14.1
East,2026-04-18,21.9,0.0,14.9
East,2026-04-19,11.7,4.5,19.8
East,2026-04-20,10.2,1.8,18.0
East,2026-04-21,11.4,0.0,13.0
East,2026-04-22,12.8,1.5,15.3
East,2026-04-23,22.5,5.8,17.1
East,2026-04-24,20.9,0.0,15.1
East,2026-04-25,11.0,14.0,14.4
East,2026-04-26,13.9,13.4,17.7
East,2026-04-27,19.6,0.0,10.2
East,2026-04-28,18.1,0.0,9.8
East,2026-04-29,16.9,0.0,14.8
East,2026-04-30,15.7,10.4,10.8
East,2026-05-01,19.0,0.1,14.9
East,2026-05-02,15.4,1.9,11.1
East,2026-05-03,14.6,0.0,23.5
East,2026-05-04,24.5,0.0,21.2
East,2026-05-05,29.4,0.0,21.2
East,2026-05-06,25.4,3.6,23.1
East,2026-05-07,19.7,4.9,19.8
East,2026-05-08,18.6,0.5,21.1
East,2026-05-09,18.6,8.1,12.6
East,2026-05-10,24.5,4.2,15.4
East,2026-05-11,20.5,0.7,20.1
East,2026-05-12,20.1,0.0,20.3
East,2026-05-13,24.6,0.0,20.9
East,2026-05-14,19.4,2.5,17.7
East,2026-05-15,19.4,0.2,15.5
East,2026-05-16,28.5,0.0,17.1
East,2026-05-17,32.9,0.0,16.0
East,2026-05-18,32.0,0.0,16.4
East,2026-05-19,35.8,0.7,20.0
East,2026-05-20,34.6,5.4,18.8
East,2026-05-21,24.1,11.6,13.7
East,2026-05-22,20.3,0.0,14.8
East,2026-05-23,14.9,11.2,13.4
East,2026-05-24,15.4,35.8,15.0
East,2026-05-25,23.0,5.8,12.2
East,2026-05-26,26.3,0.0,9.2
East,2026-05-27,27.2,0.0,13.5
East,2026-05-28,25.4,0.0,24.8
East,2026-05-29,27.0,0.0,16.4
East,2026-05-30,24.2,1.0,27.5
East,2026-05-31,25.6,0.0,19.7
East,2026-06-01,22.8,0.2,14.6
East,2026-06-02,25.5,0.0,17.7
East,2026-06-03,29.5,0.0,13.2
East,2026-06-04,32.0,0.0,13.3
East,2026-06-05,33.7,0.0,14.1
East,2026-06-06,34.3,3.3,20.2
East,2026-06-07,29.2,5.9,18.8
East,2026-06-08,24.8,0.0,19.6
East,2026-06-09,27.7,0.0,14.7
East,2026-06-10,29.3,2.6,13.6
East,2026-06-11,35.4,3.0,20.3
East,2026-06-12,33.7,5.5,20.7
East,2026-06-13,32.5,0.0,13.1
East,2026-06-14,33.4,0.0,19.6
East,2026-06-15,27.5,20.5,18.0
East,2026-06-16,26.3,0.0,17.1
East,2026-06-17,25.8,1.1,16.3
East,2026-06-18,31.9,1.2,31.4
East,2026-06-19,29.3,0.0,20.0
East,2026-06-20,29.4,0.0,20.2
East,2026-06-21,29.3,0.0,15.1
East,2026-06-22,27.4,5.9,16.2
East,2026-06-23,22.0,22.8,11.4
East,2026-06-24,28.1,0.0,15.1
East,2026-06-25,29.0,0.1,17.6
East,2026-06-26,28.2,7.1,15.3
East,2026-06-27,26.2,12.1,7.2
East,2026-06-28,27.3,2.7,8.5
East,2026-06-29,31.6,0.0,12.4
East,2026-06-30,34.0,1.0,14.4
East,2026-07-01,35.8,2.4,13.0
East,2026-07-02,40.7,4.2,12.8
East,2026-07-03,40.0,1.5,16.4
East,2026-07-04,36.0,0.9,18.3
East,2026-07-05,33.5,16.7,14.0
East,2026-07-06,24.5,47.7,15.9
East,2026-07-07,22.6,9.9,16.2
East,2026-07-08,29.8,0.0,9.8
East,2026-07-09,29.9,7.2,11.6
East,2026-07-10,29.7,1.0,12.1
East,2026-07-11,28.0,12.4,10.0
East,2026-07-12,29.6,0.2,11.6
East,2026-07-13,29.9,0.3,13.9
East,2026-07-14,34.2,0.0,18.7
East,2026-07-15,36.9,0.7,19.3
East,2026-07-16,33.2,0.4,19.6
East,2026-07-17,31.3,0.0,12.3
East,2026-07-18,29.0,18.1,18.1
East,2026-07-19,26.9,13.3,16.9
East,2026-07-20,29.1,0.0,12.6
East,2026-07-21,28.2,20.2,21.9
East,2026-07-22,30.0,1.1,16.3
East,2026-07-23,27.9,0.0,13.1
East,2026-07-24,28.0,0.0,13.2
East,2026-07-25,27.6,0.0,13.4
East,2026-07-26,29.7,0.4,11.0
East,2026-07-27,30.3,3.6,16.7
East,2026-07-28,27.4,7.6,13.7
East,2026-07-29,28.0,67.0,16.4
East,2026-07-30,25.2,5.4,13.3
East,2026-07-31,29.2,1.2,7.3
East,2026-08-01,29.6,1.1,14.4
East,2026-08-02,28.0,4.1,20.5
East,2026-08-03,28.4,40.8,21.4
East,2026-08-04,28.7,0.0,11.1
East,2026-08-05,28.1,0.6,11.3
East,2026-08-06,32.6,6.1,12.5
East,2026-08-07,35.2,4.3,12.4
East,2026-08-08,31.3,2.4,16.4
East,2026-08-09,33.4,0.0,12.6
East,2026-08-10,32.6,3.5,13.0
East,2026-08-11,31.2,4.7,14.5
East,2026-08-12,31.7,1.7,12.1
East,2026-08-13,29.4,16.1,15.3
East,2026-08-14,29.4,0.1,7.5
East,2026-08-15,28.7,0.1,14.4
East,2026-08-16,26.9,0.1,15.7
East,2026-08-17,27.6,12.4,14.1
East,2026-08-18,29.5,4.3,11.3
East,2026-08-19,30.3,0.0,13.3
East,2026-08-20,29.0,13.1,10.1
East,2026-08-21,25.7,18.7,21.6
East,2026-08-22,24.7,0.5,9.5
East,2026-08-23,26.9,9.0,13.6
East,2026-08-24,25.9,0.4,12.6
East,2026-08-25,25.3,0.1,12.4
East,2026-08-26,27.5,0.0,11.1
East,2026-08-27,26.7,6.6,17.5
East,2026-08-28,29.0,0.7,11.3
East,2026-08-29,26.4,0.0,13.9
East,2026-08-30,28.7,2.0,15.9
East,2026-08-31,26.7,6.8,9.8
East,2026-09-01,28.3,24.4,10.4
East,2026-09-02,22.7,5.0,12.3
East,2026-09-03,30.1,10.4,14.5
East,2026-09-04,29.0,8.4,15.2
East,2026-09-05,25.7,0.4,10.1
East,2026-09-06,24.2,1.9,8.5
East,2026-09-07,26.0,0.0,9.1
East,2026-09-08,27.1,0.0,10.3
East,2026-09-09,30.8,0.0,17.3
East,2026-09-10,30.8,1.0,17.4
West,2026-03-15,28.0,0.0,9.6
West,2026-03-16,32.9,0.0,11.9
West,2026-03-17,36.9,0.0,11.1
West,2026-03-18,35.6,0.0,10.2
West,2026-03-19,36.1,0.0,9.9
West,2026-03-20,36.5,0.0,12.5
West,2026-03-21,31.7,0.0,11.5
West,2026-03-22,29.3,0.0,10.6
West,2026-03-23,28.8,0.0,10.1
West,2026-03-24,28.4,0.0,9.4
West,2026-03-25,28.8,0.0,13.6
West,2026-03-26,29.7,0.0,12.7
West,2026-03-27,30.2,0.0,9.8
West,2026-03-28,28.2,0.0,11.1
West,2026-03-29,31.8,0.0,10.1
West,2026-03-30,28.3,0.0,11.9
West,2026-03-31,23.2,0.0,11.2
West,2026-04-01,21.5,7.4,11.7
West,2026-04-02,21.7,0.0,12.4
West,2026-04-03,27.3,0.0,8.3
West,2026-04-04,30.7,0.0,9.7
West,2026-04-05,31.1,0.0,12.4
West,2026-04-06,27.7,0.0,14.1
West,2026-04-07,27.3,0.0,12.0
West,2026-04-08,28.0,0.0,13.2
West,2026-04-09,27.1,0.0,11.4
West,2026-04-10,24.7,0.0,12.9
West,2026-04-11,22.9,1.8,15.5
West,2026-04-12,20.6,12.6,14.0
West,2026-04-13,19.4,0.7,11.4
West,2026-04-14,23.6,0.0,13.0
West,2026-04-15,25.2,0.0,11.9
West,2026-04-16,24.4,0.0,11.0
West,2026-04-17,27.0,0.0,12.2
West,2026-04-18,29.3,0.0,12.0
West,2026-04-19,27.5,0.0,12.0
West,2026-04-20,24.8,0.0,12.5
West,2026-04-21,22.0,0.6,13.6
West,2026-04-22,21.6,0.4,12.6
West,2026-04-23,25.9,0.0,14.0
West,2026-04-24,25.0,0.0,11.6
West,2026-04-25,23.0,0.1,14.2
West,2026-04-26,18.6,1.0,19.8
West,2026-04-27,21.2,0.3,14.5
West,2026-04-28,24.7,0.0,15.9
West,2026-04-29,25.3,0.0,13.9
West,2026-04-30,25.3,0.0,13.8
West,2026-05-01,26.4,0.0,13.1
West,2026-05-02,25.1,0.0,12.5
West,2026-05-03,22.6,0.0,10.7
West,2026-05-04,21.2,0.1,15.4
West,2026-05-05,21.1,1.6,13.4
West,2026-05-06,24.7,0.0,12.6
West,2026-05-07,26.6,0.0,12.2
West,2026-05-08,25.3,0.0,11.6
West,2026-05-09,27.2,0.0,12.5
West,2026-05-10,27.3,0.0,11.2
West,2026-05-11,30.3,0.0,11.7
West,2026-05-12,29.4,0.0,11.6
West,2026-05-13,23.1,0.0,12.7
West,2026-05-14,24.1,0.0,11.8
West,2026-05-15,24.4,0.0,11.3
West,2026-05-16,23.8,0.0,12.2
West,2026-05-17,23.6,0.0,11.7
West,2026-05-18,25.7,0.0,13.1
West,2026-05-19,30.5,0.0,14.5
West,2026-05-20,32.1,0.0,13.9
West,2026-05-21,30.3,0.0,12.9
West,2026-05-22,26.0,0.0,11.7
West,2026-05-23,24.0,0.0,12.3
West,2026-05-24,23.0,0.0,12.9
West,2026-05-25,23.2,0.0,13.3
West,2026-05-26,22.5,0.8,13.3
West,2026-05-27,21.7,0.9,14.3
West,2026-05-28,21.5,0.4,13.3
West,2026-05-29,23.1,0.0,13.2
West,2026-05-30,26.9,0.0,13.9
West,2026-05-31,29.3,0.0,14.0
West,2026-06-01,28.1,0.0,13.9
West,2026-06-02,25.7,0.0,12.9
West,2026-06-03,27.6,0.0,12.0
West,2026-06-04,28.6,0.0,11.7
West,2026-06-05,27.6,0.0,11.2
West,2026-06-06,27.4,0.0,11.9
West,2026-06-07,26.1,0.0,13.2
West,2026-06-08,26.7,0.0,13.5
West,2026-06-09,27.2,0.0,12.2
West,2026-06-10,31.3,0.0,12.9
West,2026-06-11,32.0,0.0,13.7
West,2026-06-12,32.3,0.0,13.3
West,2026-06-13,28.9,0.0,12.1
West,2026-06-14,29.2,0.0,12.8
West,2026-06-15,28.2,0.0,12.2
West,2026-06-16,28.1,0.0,12.9
West,2026-06-17,25.9,0.0,10.8
West,2026-06-18,23.8,0.0,11.1
West,2026-06-19,24.8,0.0,12.4
West,2026-06-20,23.9,0.0,11.9
West,2026-06-21,24.7,0.0,12.0
West,2026-06-22,27.2,0.0,12.1
West,2026-06-23,28.0,0.0,11.7
West,2026-06-24,27.4,0.0,13.2
West,2026-06-25,26.5,0.0,11.7
West,2026-06-26,26.2,0.0,13.2
West,2026-06-27,26.7,0.0,13.6
West,2026-06-28,26.2,0.5,11.8
West,2026-06-29,25.4,0.3,13.5
West,2026-06-30,24.5,0.1,13.1
West,2026-07-01,23.7,0.1,11.6
West,2026-07-02,26.6,0.0,13.0
West,2026-07-03,29.7,0.0,15.0
West,2026-07-04,29.8,2.0,12.1
West,2026-07-05,29.3,0.0,13.7
West,2026-07-06,30.5,0.0,12.7
West,2026-07-07,31.1,0.0,13.1
West,2026-07-08,32.0,0.0,11.5
West,2026-07-09,31.9,0.0,12.4
West,2026-07-10,29.9,0.0,11.6
West,2026-07-11,30.6,0.0,11.5
West,2026-07-12,29.2,1.2,12.8
West,2026-07-13,32.7,0.0,10.6
West,2026-07-14,33.1,0.0,12.2
West,2026-07-15,37.1,0.0,12.2
West,2026-07-16,35.0,0.0,11.7
